"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar producto al carrito","Agregar producto al carrito","SUCCESS","2026-06-04T15:51:21.78-05:00[America/Bogota]","0.0","8.59"
"Consultar prestamos activos en la Biblioteca","Verificar la consulta de prestamos activos","SUCCESS","2026-06-11T20:53:27.5803417-05:00[America/Bogota]","0.0","11.14"
"Consultar prestamos por usuario en la Biblioteca","Verificar la consulta de prestamos por usuario","SUCCESS","2026-06-11T20:53:39.1553983-05:00[America/Bogota]","0.0","8.6"
"Consultar prestamos vencidos en la Biblioteca","Verificar la consulta de prestamos vencidos","SUCCESS","2026-06-11T20:53:48.2128102-05:00[America/Bogota]","0.0","8.34"
"Consultar libros en la Biblioteca","Verificar la consulta de libros","SUCCESS","2026-06-11T20:53:57.0865333-05:00[America/Bogota]","0.0","9.54"
"Realizar checkout","Realizar checkout","SUCCESS","2026-06-04T16:48:14.032-05:00[America/Bogota]","0.0","20.15"
"Eliminar producto del carrito","Eliminar producto del carrito","SUCCESS","2026-06-04T16:21:00.155-05:00[America/Bogota]","0.0","45.27"
"Autenticar en la pagina de","Verificar la autenticacion exitosa en la pagina de AlmaSoft","SUCCESS","2026-06-04T09:07:38.31-05:00[America/Bogota]","0.0","9.02"
"Autenticar en la pagina de Biblioteca","Verificar la autenticacion exitosa en la pagina de Biblioteca","SUCCESS","2026-06-11T20:54:07.0764832-05:00[America/Bogota]","0.0","7.15"
"Registrar devolución de libros","Verificar la devolución exitosa de un libro","SUCCESS","2026-06-11T20:54:14.7324337-05:00[America/Bogota]","0.0","8.13"
"Registrar libros en la Biblioteca","Verificar el registro exitoso de un libro","SUCCESS","2026-06-11T20:54:23.3464507-05:00[America/Bogota]","0.0","13.44"
"Registrar préstamos en la Biblioteca","Verificar el registro exitoso de un préstamo","SUCCESS","2026-06-11T20:54:37.231871-05:00[America/Bogota]","0.0","11.64"
"Registrar usuarios en la Biblioteca","Verificar el registro exitoso de un usuario","SUCCESS","2026-06-11T20:54:49.3834752-05:00[America/Bogota]","0.0","13.05"
