"Story","Title","Result","Date","Stability","Duration (s)"
"Consultar prestamos activos en la Biblioteca","Verificar la consulta de prestamos activos","SUCCESS","2026-06-11T16:10:04.8349085-05:00[America/Bogota]","0.0","9.62"
"Consultar prestamos por usuario en la Biblioteca","Verificar la consulta de prestamos por usuario","SUCCESS","2026-06-11T16:27:13.588508-05:00[America/Bogota]","0.0","9.97"
"Agregar producto al carrito","Agregar producto al carrito","SUCCESS","2026-06-04T15:51:21.78-05:00[America/Bogota]","0.0","8.59"
"Consultar prestamos vencidos en la Biblioteca","Verificar la consulta de prestamos vencidos","SUCCESS","2026-06-11T17:17:00.2984009-05:00[America/Bogota]","0.0","10.12"
"Consultar libros en la Biblioteca","Verificar la consulta de libros","SUCCESS","2026-06-11T17:51:41.3676121-05:00[America/Bogota]","0.0","12.69"
"Realizar checkout","Realizar checkout","SUCCESS","2026-06-04T16:48:14.032-05:00[America/Bogota]","0.0","20.15"
"Eliminar producto del carrito","Eliminar producto del carrito","SUCCESS","2026-06-04T16:21:00.155-05:00[America/Bogota]","0.0","45.27"
"Autenticar en la pagina de AlmaSoft","Verificar la autenticacion exitosa en la pagina de AlmaSoft","FAILURE","2026-06-04T08:47:43.779-05:00[America/Bogota]","0.0","29.02"
"Autenticar en la pagina de","Verificar la autenticacion exitosa en la pagina de AlmaSoft","SUCCESS","2026-06-04T09:07:38.31-05:00[America/Bogota]","0.0","9.02"
"Autenticar en la pagina de Biblioteca","Verificar la autenticacion exitosa en la pagina de Biblioteca","SUCCESS","2026-06-11T17:10:38.1357511-05:00[America/Bogota]","0.0","8.79"
